Time,Height
14:13:56.106039,75
14:13:56.208463,75
14:13:56.306723,75
14:13:56.409166,76
14:13:56.511486,76
14:13:56.609811,74
14:13:56.712310,75
14:13:56.810510,75
14:13:56.912951,74
14:13:57.015297,76
14:13:57.113642,76
14:13:57.215991,74
14:13:57.314439,75
14:13:57.416682,75
14:13:57.515045,77
14:13:57.617353,75
14:13:57.719767,75
14:13:57.818048,75
14:13:57.920470,75
14:13:58.018788,75
14:13:58.121182,76
14:13:58.223586,75
14:13:58.321911,75
14:13:58.424313,75
14:13:58.522602,75
14:13:58.624937,76
14:13:58.727383,76
14:13:58.825680,75
14:13:58.928093,75
14:13:59.026399,75
14:13:59.128715,76
14:13:59.231116,75
14:13:59.329436,74
14:13:59.431841,75
14:13:59.530132,75
14:13:59.632530,75
14:13:59.734921,75
14:13:59.833267,75
14:13:59.935615,75
14:14:00.033909,75
14:14:00.136313,76
14:14:00.238778,75
14:14:00.337029,75
14:14:00.439381,75
14:14:00.537737,75
14:14:00.640136,75
14:14:00.738383,75
14:14:00.840876,75
14:14:00.944456,75
14:14:01.041551,75
14:14:01.143885,75
14:14:01.242209,75
14:14:01.344574,75
14:14:01.447002,75
14:14:01.545298,75
14:14:01.647729,76
14:14:01.745950,75
14:14:01.848376,76
14:14:01.950844,76
14:14:02.049096,75
14:14:02.151430,75
14:14:02.249769,75
14:14:02.352167,76
14:14:02.454545,75
14:14:02.552922,76
14:14:02.655263,76
14:14:02.753559,75
14:14:02.855943,76
14:14:02.958335,75
14:14:03.056690,75
14:14:03.159099,76
14:14:03.257338,75
14:14:03.359761,76
14:14:03.458043,75
14:14:03.560463,75
14:14:03.662878,75
14:14:03.761157,75
14:14:03.863484,76
14:14:03.961816,76
14:14:04.064336,75
14:14:04.166656,75
14:14:04.264948,75
14:14:04.367380,75
14:14:04.465602,75
14:14:04.568014,76
14:14:04.670466,75
14:14:04.768754,75
14:14:04.871100,75
14:14:04.969409,75
14:14:05.071806,75
14:14:05.174185,76
14:14:05.272499,75
14:14:05.374869,75
14:14:05.473178,74
14:14:05.575592,75
14:14:05.678000,76
14:14:05.776332,76
14:14:05.878670,75
14:14:05.976999,76
14:14:06.079408,76
14:14:06.181818,75
14:14:06.280085,75
14:14:06.382483,75
14:14:06.480781,76
14:14:06.583581,76
14:14:06.681431,75
14:14:06.784008,77
14:14:06.886233,75
14:14:06.984556,75
14:14:07.086969,75
14:14:07.185275,75
14:14:07.287673,74
14:14:07.390029,76
14:14:07.488340,75
14:14:07.590848,75
14:14:07.689042,76
14:14:07.791443,74
14:14:07.893834,76
14:14:07.992118,75
14:14:08.094548,75
14:14:08.192930,76
14:14:08.295216,75
14:14:08.397619,75
14:14:08.495934,75
14:14:08.598349,74
14:14:08.696624,75
14:14:08.799042,75
14:14:08.901385,75
14:14:08.999706,75
14:14:09.102105,74
14:14:09.200389,76
14:14:09.302852,76
14:14:09.401121,75
14:14:09.503487,74
14:14:09.605867,75
14:14:09.704255,75
14:14:09.806583,75
14:14:09.904969,75
14:14:10.007308,75
14:14:10.109675,75
14:14:10.207981,75
14:14:10.310394,75
14:14:10.408667,75
14:14:10.511074,74
14:14:10.613480,75
14:14:10.711759,75
14:14:10.814180,74
14:14:10.912478,75
14:14:11.014859,74
14:14:11.117324,75
14:14:11.215539,75
14:14:11.317990,75
14:14:11.416284,74
14:14:11.518704,75
14:14:11.621078,75
14:14:11.719453,75
14:14:11.821758,74
14:14:11.920024,75
14:14:12.022404,75
14:14:12.120717,75
14:14:12.223630,75
14:14:12.325539,74
14:14:12.423864,75
14:14:12.526223,75
14:14:12.624511,74
14:14:12.726933,75
14:14:12.829289,75
14:14:12.927600,75
14:14:13.030057,74
14:14:13.128293,76
14:14:13.230717,74
14:14:13.333100,74
14:14:13.431395,75
14:14:13.533765,75
14:14:13.632109,75
14:14:13.734552,74
14:14:13.836879,75
14:14:13.935170,75
14:14:14.037632,73
14:14:14.135880,74
14:14:14.238325,74
14:14:14.340740,73
